Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
QCOM,QUALCOMM Inc.,Information Technology,68.29,3.14,17.92,3.81,21.53,42.24,71.62,100.86,8.24,4.30,3.18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QCOM
PWR,Quanta Services Inc.,Industrials,35.52,,53.41,0.67,21.66,16.77,35.85,5.37,0.47587999999999997,0.71,1.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PWR
DGX,Quest Diagnostics,Health Care,91.21,2.03,19.36,4.71,33.55,59.66,91.21,12.65,1.47,1.66,2.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DGX
RRC,Range Resources Corp.,Energy,38.57,0.21,,-4.00,22.40,19.21,46.96,9.40,0.17815999999999999,8.19,1.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRC
RTN,Raytheon Co.,Industrials,146.41,1.96,19.55,7.49,35.60,115.73,152.58,42.99,3.68,1.78,4.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RTN
O,Realty Income Corporation,Financials,55.725,4.370,50.476,1.104,24.592,48.370,72.300,14.41,0.97807,13.261,2.250,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=O
RHT,Red Hat Inc.,Information Technology,78.70,,66.19,1.19,7.34,59.59,84.44,14.13,0.38445999999999997,6.34,10.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHT
REGN,Regeneron,Health Care,372.265,,54.314,6.854,42.842,325.350,563.790,39.03,1.31,8.179,8.617,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REGN
RF,Regions Financial Corp.,Financials,14.5643,1.8000,17.1143,0.8510,13.3820,7.0000,14.7300,17.93,0.00,3.3858,1.0873,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RF
RSG,Republic Services Inc,Industrials,56.49,2.27,32.84,1.72,22.42,41.82,56.70,19.20,2.61,2.06,2.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RSG
RAI,Reynolds American Inc.,Consumer Staples,55.14,3.33,14.33,3.85,15.11,43.38,56.65,78.62,5.61,6.32,3.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RAI
RHI,Robert Half International,Industrials,48.465,1.830,17.490,2.771,8.580,34.340,48.930,6.18,0.6346799999999999,1.179,5.695,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHI
ROK,Rockwell Automation Inc.,Industrials,139.43,2.23,25.08,5.56,15.49,87.53,139.46,17.88,1.17,3.00,8.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROK
COL,Rockwell Collins,Industrials,94.36,1.39,17.13,5.51,15.96,76.03,96.55,12.29,1.21,2.35,5.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COL
ROP,Roper Industries,Industrials,185.58,0.76,27.71,6.70,56.32,155.79,193.32,18.82,1.28,4.99,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROP
ROST,Ross Stores,Consumer Discretionary,67.51,0.79,24.82,2.72,6.72,50.42,69.81,26.61,2.04,2.12,10.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROST
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,85.88,2.31,15.19,5.65,40.97,64.21,103.40,18.43,2.31,2.17,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RCL
R,Ryder System,Industrials,82.41,2.15,15.18,5.43,39.22,45.12,85.42,4.41,1.81,0.67,2.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=R
SPGI,"S&P Global, Inc.",Financials,115.37,1.27,17.01,6.78,1.78,78.55,128.40,29.89,2.43,5.25,64.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPGI
CRM,Salesforce.com,Information Technology,71.14,,241.15,0.29,9.77,52.60,84.48,49.56,0.53422,6.33,7.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRM
SCG,SCANA Corp,Utilities,72.77,3.21,18.28,3.98,39.71,56.50,76.41,10.40,1.54,2.50,1.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCG
SLB,Schlumberger Ltd.,Energy,84.635,2.380,,-1.888,30.356,59.600,86.410,117.75,6.82,4.131,2.783,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLB
