Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
VIAB,Viacom Inc.,Consumer Discretionary,38.48,2.19,10.64,3.62,10.77,30.11,47.47,15.27,2.95,1.23,3.60,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VIAB
V,Visa Inc.,Information Technology,79.03,0.83,31.22,2.53,11.61,66.12,83.96,184.93,10.27,12.30,6.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=V
VNO,Vornado Realty Trust,Financials,103.57,2.48,48.83,2.12,27.92,78.91,108.69,19.57,1.21,7.91,3.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VNO
VMC,Vulcan Materials,Materials,128.24,0.62,46.82,2.74,34.04,78.83,138.18,16.97,0.97721,4.78,3.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VMC
WMT,Wal-Mart Stores,Consumer Staples,69.924,2.840,15.168,4.610,25.233,58.670,75.190,214.89,33.01,0.446,2.788,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMT
WBA,Walgreens Boots Alliance,Consumer Staples,86.565,1.770,22.661,3.820,27.590,71.500,87.050,93.77,7.95,0.778,3.055,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WBA
WM,Waste Management Inc.,Industrials,70.135,2.360,28.144,2.492,12.125,50.360,70.670,31.00,3.65,2.312,5.778,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WM
WAT,Waters Corporation,Health Care,139.74,0.00,22.92,6.10,28.04,112.00,162.53,11.26,0.70356,5.23,4.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WAT
WFC,Wells Fargo,Financials,57.1764,2.7400,14.1877,4.0300,35.8380,43.5500,58.0200,287.16,0.00,3.4030,1.5986,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WFC
HCN,Welltower Inc.,Financials,65.84,5.41,29.04,2.27,38.03,52.80,80.19,23.87,2.09,5.75,1.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCN
WDC,Western Digital,Information Technology,67.88,3.13,,-1.61,37.74,34.99,69.60,19.38,2.32,1.36,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WDC
WU,Western Union Co,Information Technology,22.01,2.96,13.33,1.65,2.86,16.02,22.26,10.67,1.36,1.98,7.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WU
WRK,Westrock Co,Materials,52.37,3.09,,-1.54,39.18,29.73,53.56,13.00,2.26,0.92,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WRK
WY,Weyerhaeuser Corp.,Financials,32.745,3.890,42.526,0.770,12.287,22.060,33.170,24.50,1.77,3.115,2.668,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WY
WHR,Whirlpool Corp.,Consumer Discretionary,173.99,2.36,15.21,11.44,66.72,123.60,194.10,13.07,2.18,0.63,2.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WHR
WFM,Whole Foods Market,Consumer Staples,32.01,1.84,20.65,1.55,10.13,27.67,35.58,10.19,1.37,0.64,3.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WFM
WMB,Williams Cos.,Energy,30.175,2.550,,-1.500,6.480,10.220,31.850,22.66,3.33,3.200,4.806,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMB
WLTW,Willis Towers Watson,Financials,122.92,1.54,66.62,1.85,78.47,104.11,133.40,16.81,1.36,2.46,1.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WLTW
WEC,Wisconsin Energy Corporation,Utilities,57.11,3.52,19.60,2.91,28.17,48.05,66.10,18.02,2.40,2.42,2.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WEC
WYN,Wyndham Worldwide,Consumer Discretionary,77.85,2.66,14.93,5.21,7.36,60.59,81.08,8.39,1.27,1.49,10.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WYN
WYNN,Wynn Resorts Ltd,Consumer Discretionary,91.61,1.96,43.21,2.12,-1.32,49.95,109.50,9.29,0.89242,2.24,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WYNN
XEL,Xcel Energy Inc,Utilities,39.84,3.46,18.36,2.17,21.63,34.47,45.42,20.24,3.59,1.82,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEL
XRX,Xerox Corp.,Information Technology,9.465,3.330,15.881,0.596,9.128,8.480,11.390,9.60,2.02,0.551,1.043,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XRX
XLNX,Xilinx Inc,Information Technology,55.75,2.42,24.89,2.24,10.40,40.44,56.25,14.08,0.76575,6.13,5.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XLNX
XL,XL Capital,Financials,37.025,2.210,29.200,1.268,42.949,30.330,40.480,9.96,0.85814,0.966,0.855,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XL
XYL,Xylem Inc.,Industrials,51.545,1.190,28.604,1.802,12.414,31.670,54.990,9.25,0.613,2.536,4.180,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XYL
YHOO,Yahoo Inc.,Information Technology,41.685,,,-5.079,36.536,26.150,44.920,39.77,0.09038,7.944,1.133,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=YHOO
YUM,Yum! Brands Inc,Consumer Discretionary,64.14,3.17,16.50,3.89,-5.04,46.43,66.13,23.54,3.00,1.83,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=YUM
ZBH,Zimmer Biomet Holdings,Health Care,105.15,0.92,58.87,1.79,48.68,88.27,133.21,21.06,2.89,2.75,2.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZBH
ZION,Zions Bancorp,Financials,43.20,0.76,23.74,1.82,34.19,19.65,43.44,8.80,0.00,3.91,1.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZION
ZTS,Zoetis,Health Care,51.925,0.820,37.437,1.387,3.207,38.260,53.140,25.64,1.63,5.224,16.115,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZTS
